,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,위경도
41,초등학교,송운초교,부산광역시 해운대구 반송로 20,부산광역시 해운대구 반송동 893,35.228611258,129.1573916628,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,4~11,2022-03-21,35.228611258129.1573916628
42,초등학교,송정초교,부산광역시 해운대구 해운대로 1164-9,부산광역시 해운대구 송정동 935,35.18957289,129.2047827,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,5.5~15.5,2022-03-21,35.18957289129.2047827
43,초등학교,신곡초교,부산광역시 해운대구 좌동순환로 290,부산광역시 해운대구 좌동 1324,35.169981,129.1818694,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,12.5~16,2022-03-21,35.169981129.1818694
44,초등학교,신도초교,부산광역시 해운대구 좌동순환로 34,부산광역시 해운대구 좌동 1346,35.16948362,129.1673789,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,9~14.5,2022-03-21,35.16948362129.1673789
45,초등학교,신재초교,부산광역시 해운대구 해운대로81번길 55,부산광역시 해운대구 재송동 1024-1,35.19176921,129.122731,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5.5~9,2022-03-21,35.19176921129.122731
46,초등학교,양운초교,부산광역시 해운대구 대천로67번길 36,부산광역시 해운대구 좌동 1372,35.174719,129.1667065,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,7~20,2022-03-21,35.174719129.1667065
48,유치원,여명유치원,부산광역시 해운대구 재반로118번길 92,부산광역시 해운대구 재송동 1155-9,35.191034,129.130659,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5.5~6.5,2022-03-21,35.191034129.130659
49,유치원,왕자와공주유치원,부산광역시 해운대구 좌동순환로299번길 11,부산광역시 해운대구 좌동 1439,35.16956973,129.1850498,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12.5~16,2022-03-21,35.16956973129.1850498
50,어린이집,우2동어린이집,부산광역시 해운대구 해운대로383번가길 3-9,부산광역시 해운대구 우동 1185-164,35.171533,129.139974,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,6~9,2022-03-21,35.171533129.139974
51,유치원,우주유치원,부산광역시 해운대구 선수촌로 95,부산광역시 해운대구 반여동 1199-11,35.20064959,129.1172223,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,26~33,2022-03-21,35.20064959129.1172223
